,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Gls,Sh,SoT,FK,PK,PKatt,Team
0,2024-06-15,21:00,Group stage,Sat,Neutral,L,1,2,it Italy,0.5,1.5,32.0,60512.0,Berat Djimsiti,4-2-3-1,4-3-3,Felix Zwayer,Match Report,,1.0,8.0,1.0,1.0,0.0,0.0,Albania
1,2024-06-19,15:00,Group stage,Wed,Neutral,D,2,2,hr Croatia,1.5,2.6,33.0,46784.0,Berat Djimsiti,4-3-3,4-3-3,François Letexier,Match Report,,2.0,15.0,7.0,0.0,0.0,0.0,Albania
2,2024-06-24,21:00,Group stage,Mon,Neutral,L,0,1,es Spain,0.5,1.5,42.0,46586.0,Berat Djimsiti,4-3-3,4-3-3,Glenn Nyberg,Match Report,,0.0,10.0,4.0,0.0,0.0,0.0,Albania
0,2024-06-17,21:00,Group stage,Mon,Neutral,L,0.0,1.0,fr France,0.8,2.0,52.0,46425.0,Marcel Sabitzer,4-2-3-1,4-2-3-1,Jesús Gil,Match Report,,0.0,6.0,3.0,1.0,0.0,0.0,Austria
1,2024-06-21,18:00,Group stage,Fri,Neutral,W,3.0,1.0,pl Poland,2.1,1.6,52.0,69455.0,Marko Arnautović,4-2-3-1,3-5-2,Halil Umut Meler,Match Report,,3.0,14.0,8.0,0.0,1.0,1.0,Austria
2,2024-06-25,18:00,Group stage,Tue,Neutral,W,3.0,2.0,nl Netherlands,0.9,1.7,47.0,68363.0,Marko Arnautović,4-2-3-1,4-3-3,Ivan Kružliak,Match Report,,2.0,9.0,5.0,0.0,0.0,0.0,Austria
5,2024-07-02,21:00,Round of 16,Tue,Neutral,L,1.0,2.0,tr Türkiye,3.1,0.9,60.0,38305.0,Marko Arnautović,4-2-3-1,3-4-3,Artur Soares Dias,Match Report,,1.0,21.0,5.0,1.0,0.0,0.0,Austria
0,2024-06-17,18:00,Group stage,Mon,Neutral,L,0.0,1.0,sk Slovakia,1.6,0.6,60.0,45181.0,Kevin De Bruyne,4-2-3-1,4-3-3,Halil Umut Meler,Match Report,,0.0,16.0,4.0,0.0,0.0,0.0,Belgium
1,2024-06-22,21:00,Group stage,Sat,Neutral,W,2.0,0.0,ro Romania,1.7,0.9,55.0,42535.0,Kevin De Bruyne,4-2-3-1,4-1-4-1,Szymon Marciniak,Match Report,,2.0,20.0,9.0,0.0,0.0,0.0,Belgium
2,2024-06-26,18:00,Group stage,Wed,Neutral,D,0.0,0.0,ua Ukraine,0.9,0.8,60.0,54000.0,Kevin De Bruyne,4-2-3-1,5-3-2,Anthony Taylor,Match Report,,0.0,12.0,4.0,1.0,0.0,0.0,Belgium
5,2024-07-01,18:00,Round of 16,Mon,Neutral,L,0.0,1.0,fr France,0.2,1.1,45.0,46810.0,Kevin De Bruyne,4-4-2,4-3-3,Glenn Nyberg,Match Report,,0.0,5.0,2.0,0.0,0.0,0.0,Belgium
0,2024-06-15,18:00,Group stage,Sat,Neutral,L,0,3,es Spain,2.1,2.0,54.0,68844.0,Luka Modrić,4-3-3,4-3-3,Michael Oliver,Match Report,,0.0,15.0,4.0,0.0,0.0,1.0,Croatia
1,2024-06-19,15:00,Group stage,Wed,Neutral,D,2,2,al Albania,2.6,1.5,67.0,46784.0,Luka Modrić,4-3-3,4-3-3,François Letexier,Match Report,,1.0,22.0,9.0,0.0,0.0,0.0,Croatia
2,2024-06-24,21:00,Group stage,Mon,Neutral,D,1,1,it Italy,1.0,0.9,46.0,38322.0,Luka Modrić,4-3-3,3-1-4-2,Danny Makkelie,Match Report,,1.0,5.0,3.0,0.0,0.0,1.0,Croatia
0,2024-06-18,21:00,Group stage,Tue,Neutral,L,1,2,pt Portugal,0.4,1.9,27.0,38421.0,Tomáš Souček,3-1-4-2,3-4-3,Marco Guida,Match Report,,1.0,5.0,1.0,0.0,0.0,0.0,Czechia
1,2024-06-22,15:00,Group stage,Sat,Neutral,D,1,1,ge Georgia,3.0,1.1,62.0,46524.0,Tomáš Souček,3-4-3,3-4-3,Daniel Siebert,Match Report,,1.0,27.0,12.0,0.0,0.0,0.0,Czechia
2,2024-06-26,21:00,Group stage,Wed,Neutral,L,1,2,tr Türkiye,1.6,1.4,33.0,47683.0,Tomáš Souček,3-4-3,4-2-3-1,István Kovács,Match Report,,1.0,12.0,6.0,0.0,0.0,0.0,Czechia
0,2024-06-16,18:00,Group stage,Sun,Neutral,D,1.0,1.0,si Slovenia,1.7,1.1,67.0,54000.0,Kasper Schmeichel,3-4-1-2,4-4-2,Sandro Schärer,Match Report,,1.0,16.0,4.0,0.0,0.0,0.0,Denmark
1,2024-06-20,18:00,Group stage,Thu,Neutral,D,1.0,1.0,eng England,0.8,0.9,51.0,46177.0,Kasper Schmeichel,3-4-1-2,4-2-3-1,Artur Soares Dias,Match Report,,1.0,16.0,7.0,0.0,0.0,0.0,Denmark
2,2024-06-25,21:00,Group stage,Tue,Neutral,D,0.0,0.0,rs Serbia,0.7,0.3,53.0,64288.0,Kasper Schmeichel,3-4-1-2,3-4-3,François Letexier,Match Report,,0.0,10.0,3.0,0.0,0.0,0.0,Denmark
5,2024-06-29,21:00,Round of 16,Sat,Neutral,L,0.0,2.0,de Germany,1.2,2.6,45.0,61612.0,Kasper Schmeichel,3-4-3,4-2-3-1,Michael Oliver,Match Report,,0.0,11.0,2.0,1.0,0.0,0.0,Denmark
0,2024-06-16,21:00,Group stage,Sun,Neutral,W,1,0,rs Serbia,0.5,0.2,53.0,48953.0,Harry Kane,4-2-3-1,3-4-3,Daniele Orsato,Match Report,,1.0,5.0,3.0,1.0,0.0,0.0,England
1,2024-06-20,18:00,Group stage,Thu,Neutral,D,1,1,dk Denmark,0.9,0.8,49.0,46177.0,Harry Kane,4-2-3-1,3-4-1-2,Artur Soares Dias,Match Report,,1.0,12.0,4.0,0.0,0.0,0.0,England
2,2024-06-25,21:00,Group stage,Tue,Neutral,D,0,0,si Slovenia,0.8,0.2,73.0,41536.0,Harry Kane,4-3-3,4-4-2,Clément Turpin,Match Report,,0.0,12.0,3.0,1.0,0.0,0.0,England
8,2024-06-30,18:00,Round of 16,Sun,Neutral,W,2,1,sk Slovakia,1.5,2.2,63.0,47244.0,Harry Kane,4-2-3-1,4-3-3,Halil Umut Meler,Match Report,Required Extra Time,2.0,16.0,2.0,1.0,0.0,0.0,England
14,2024-07-06,18:00,Quarter-finals,Sat,Neutral,D,1 (5),1 (3),ch Switzerland,0.6,1.5,52.0,46907.0,Harry Kane,3-4-3,3-4-3,Daniele Orsato,Match Report,England won on penalty kicks following extra time,1.0,13.0,3.0,0.0,0.0,0.0,England
20,2024-07-10,21:00,Semi-finals,Wed,Neutral,W,2,1,nl Netherlands,1.2,0.5,59.0,60926.0,Harry Kane,3-4-3,4-2-3-1,Felix Zwayer,Match Report,,2.0,8.0,3.0,0.0,1.0,1.0,England
26,2024-07-14,21:00,Final,Sun,Neutral,L,1,2,es Spain,0.5,1.9,35.0,65600.0,Harry Kane,4-2-3-1,4-2-3-1,François Letexier,Match Report,,1.0,9.0,3.0,0.0,0.0,0.0,England
0,2024-06-17,21:00,Group stage,Mon,Neutral,W,1,0,at Austria,2.0,0.8,48.0,46425.0,Kylian Mbappé,4-2-3-1,4-2-3-1,Jesús Gil,Match Report,,0.0,14.0,3.0,0.0,0.0,0.0,France
1,2024-06-21,21:00,Group stage,Fri,Neutral,D,0,0,nl Netherlands,1.4,0.5,62.0,38531.0,Antoine Griezmann,4-4-1-1,4-2-3-1,Anthony Taylor,Match Report,,0.0,15.0,3.0,1.0,0.0,0.0,France
2,2024-06-25,18:00,Group stage,Tue,Neutral,D,1,1,pl Poland,2.3,1.2,58.0,59728.0,Kylian Mbappé,4-3-3,5-3-2,Marco Guida,Match Report,,1.0,18.0,7.0,0.0,1.0,1.0,France
7,2024-07-01,18:00,Round of 16,Mon,Neutral,W,1,0,be Belgium,1.1,0.2,55.0,46810.0,Kylian Mbappé,4-3-3,4-4-2,Glenn Nyberg,Match Report,,0.0,19.0,2.0,0.0,0.0,0.0,France
12,2024-07-05,21:00,Quarter-finals,Fri,Neutral,D,0 (5),0 (3),pt Portugal,1.1,1.8,40.0,47789.0,Kylian Mbappé,4-3-1-2,4-2-3-1,Michael Oliver,Match Report,France won on penalty kicks following extra time,0.0,20.0,5.0,0.0,0.0,0.0,France
